LATITUDE,LONGITUDE,ACCIDENT_TYPE_(CATEGORY),ROAD_TYPE,WEATHER,VEHICLE_1:_BODY_TYPE,Area,IMPACT
34.44694,135.24103,健康起因,道路(自動車専用道路等),晴れ,箱型,泉佐野市,6
40.72787,141.25789,車両故障,道路(高速自動車国道),曇,トラクタ,東北上り３６９．６（路肩）【宮城県大崎市,7
35.22557,137.09769,健康起因,その他の場所,晴れ,リヤーエンジン,瀬戸市,6
35.00894,135.77055,車両故障,道路(その他),晴れ,リヤーエンジン,京都市,7
35.27262,139.90591,衝突,道路(高速自動車国道),晴れ,ステーションワゴン,富津市,8
34.68522,135.45688,車両故障,道路(その他),晴れ,リヤーエンジン,大阪市,7
35.51705,139.33694,死傷,道路(高速自動車国道),晴れ,冷蔵冷凍車,愛甲郡愛川町,10
43.04381,144.19273,火災,その他の場所,晴れ,リヤーエンジン,釧路市,9
35.3748,139.21994,車両故障,道路(高速自動車国道),晴れ,リヤーエンジン,秦野市,7
35.55766,139.4897,車両故障,道路(その他),晴れ,リヤーエンジン,横浜市,7
35.74206,139.72556,車両故障,道路(その他),晴れ,リヤーエンジン,北区,7
36.28828,139.05792,車両故障,道路(その他),晴れ,キャブオーバ,高崎市,7
35.73369,139.56648,健康起因,道路(その他),晴れ,箱型,西東京市,6
35.63148,139.44563,車両故障,道路(その他),晴れ,リヤーエンジン,多摩市,7
35.66123,139.80518,衝突,道路(自動車専用道路等),晴れ,トラクタ,江東区,9
35.74494,139.85553,死傷,道路(その他),晴れ,箱型,葛飾区,10
35.23763,135.18839,車両故障,道路(高速自動車国道),晴れ,リヤーエンジン,福知山市,7
35.45936,139.6106,死傷,道路(その他),晴れ,箱型,横浜市,10
35.67561,139.48454,車両故障,道路(その他),晴れ,リヤーエンジン,府中市,7
35.03142,138.49258,死傷,道路(その他),晴れ,冷蔵冷凍車,静岡市,10
37.50895,139.93053,車両故障,道路(その他),曇,リヤーエンジン,会津若松市,8
35.67135,139.39497,車両故障,道路(高速自動車国道),晴れ,リヤーエンジン,日野市,7
42.92968,142.19554,車両故障,道路(高速自動車国道),曇,キャブオーバ,むかわ町,7
34.96812,135.67615,死傷,道路(その他),晴れ,リヤーエンジン,京都市,10
35.47705,139.62929,火災,道路(自動車専用道路等),晴れ,霊柩車,横浜市,8
35.56823,139.60185,車両故障,道路(その他),晴れ,リヤーエンジン,川崎市,7
43.05252,141.35493,車両故障,道路(その他),曇,リヤーエンジン,中央区,8
38.27483,140.85658,死傷,道路(その他),晴れ,リヤーエンジン,仙台市,10
37.09568,140.24742,車両故障,道路(自動車専用道路等),晴れ,リヤーエンジン,白河市,7
35.16838,136.90759,車両故障,道路(その他),晴れ,リヤーエンジン,名古屋市,7
35.49822,139.66331,車内,道路(その他),曇,リヤーエンジン,横浜市,6
36.66123,139.0775,車両故障,その他の場所,晴れ,リヤーエンジン,沼田市,7
35.18838,138.65323,車内,道路(その他),晴れ,リヤーエンジン,富士市,5
35.67924,139.67229,車両故障,道路(その他),晴れ,リヤーエンジン,渋谷区,7
35.52605,139.65195,車両故障,道路(その他),晴れ,リヤーエンジン,横浜市,7
37.84906,139.01672,車両故障,道路(その他),晴れ,粉粒体運搬車,新潟市,8
35.54526,139.57532,車両故障,その他の場所,晴れ,リヤーエンジン,横浜市,7
35.10931,136.85622,死傷,道路(その他),晴れ,箱型,名古屋市,10
