調査年 コード,調査年,地域 コード,地域,/項目,A6103_流出人口（県内他市区町村で従業・通学している人口）【人】,注釈,lat,lon,市町村
2020100000,2020年度,1100,北海道 札幌市,,"452,836",,43.062077,141.354401,札幌市
2020100000,2020年度,1101,北海道 札幌市 中央区,,"32,264",,43.05545,141.341095,札幌市 中央区
2020100000,2020年度,1102,北海道 札幌市 北区,,"66,002",,43.090778,141.340973,札幌市 北区
2020100000,2020年度,1103,北海道 札幌市 東区,,"58,123",,43.076111,141.363617,札幌市 東区
2020100000,2020年度,1104,北海道 札幌市 白石区,,"51,746",,43.045555,141.396408,札幌市 白石区
2020100000,2020年度,1105,北海道 札幌市 豊平区,,"62,822",,43.031345,141.380066,札幌市 豊平区
2020100000,2020年度,1106,北海道 札幌市 南区,,"28,182",,42.990009,141.3535,札幌市 南区
2020100000,2020年度,1107,北海道 札幌市 西区,,"55,044",,43.074455,141.300903,札幌市 西区
2020100000,2020年度,1108,北海道 札幌市 厚別区,,"34,285",,43.036392,141.474762,札幌市 厚別区
2020100000,2020年度,1109,北海道 札幌市 手稲区,,"35,010",,43.121876,141.245789,札幌市 手稲区
2020100000,2020年度,1110,北海道 札幌市 清田区,,"29,358",,42.999569,141.443802,札幌市 清田区
2020100000,2020年度,1202,北海道 函館市,,"9,233",,41.768688,140.728943,函館市
2020100000,2020年度,1203,北海道 小樽市,,"9,023",,43.190704,140.994492,小樽市
2020100000,2020年度,1204,北海道 旭川市,,"10,029",,43.771435,142.365295,旭川市
2020100000,2020年度,1205,北海道 室蘭市,,"4,375",,42.315208,140.973816,室蘭市
2020100000,2020年度,1206,北海道 釧路市,,"5,499",,42.984932,144.381775,釧路市
2020100000,2020年度,1207,北海道 帯広市,,"11,023",,42.924175,143.196228,帯広市
2020100000,2020年度,1208,北海道 北見市,,"3,116",,43.802906,143.894684,北見市
2020100000,2020年度,1209,北海道 夕張市,,306,,43.056732,141.973923,夕張市
2020100000,2020年度,1210,北海道 岩見沢市,,"8,416",,43.19603,141.77536,岩見沢市
2020100000,2020年度,1211,北海道 網走市,,"1,163",,44.020134,144.268402,網走市
2020100000,2020年度,1212,北海道 留萌市,,661,,43.941006,141.636932,留萌市
2020100000,2020年度,1213,北海道 苫小牧市,,"8,117",,42.634071,141.60553,苫小牧市
2020100000,2020年度,1214,北海道 稚内市,,353,,45.415691,141.673111,稚内市
2020100000,2020年度,1215,北海道 美唄市,,"2,286",,43.332912,141.853806,美唄市
2020100000,2020年度,1216,北海道 芦別市,,"1,033",,43.518211,142.189484,芦別市
2020100000,2020年度,1217,北海道 江別市,,"27,111",,43.103745,141.53624,江別市
2020100000,2020年度,1218,北海道 赤平市,,"1,254",,43.558048,142.044174,赤平市
2020100000,2020年度,1219,北海道 紋別市,,481,,44.356373,143.35437,紋別市
2020100000,2020年度,1220,北海道 士別市,,915,,44.178116,142.400772,士別市
2020100000,2020年度,1221,北海道 名寄市,,"1,018",,44.355907,142.463181,名寄市
2020100000,2020年度,1222,北海道 三笠市,,"1,265",,43.24567,141.875244,三笠市
2020100000,2020年度,1223,北海道 根室市,,172,,43.330105,145.583466,根室市
2020100000,2020年度,1224,北海道 千歳市,,"10,908",,42.821011,141.651001,千歳市
2020100000,2020年度,1225,北海道 滝川市,,"5,215",,43.557777,141.91037,滝川市
2020100000,2020年度,1226,北海道 砂川市,,"2,778",,43.494328,141.902527,砂川市
2020100000,2020年度,1227,北海道 歌志内市,,640,,43.521393,142.034485,歌志内市
2020100000,2020年度,1228,北海道 深川市,,"1,639",,43.723644,142.053802,深川市
2020100000,2020年度,1229,北海道 富良野市,,"1,172",,43.342339,142.383453,富良野市
2020100000,2020年度,1230,北海道 登別市,,"9,868",,42.412777,141.106674,登別市
2020100000,2020年度,1231,北海道 恵庭市,,"14,910",,42.882584,141.577774,恵庭市
2020100000,2020年度,1233,北海道 伊達市,,"4,083",,42.471943,140.864716,伊達市
2020100000,2020年度,1234,北海道 北広島市,,"14,968",,42.985474,141.562836,北広島市
2020100000,2020年度,1235,北海道 石狩市,,"12,018",,43.171345,141.315536,石狩市
2020100000,2020年度,1236,北海道 北斗市,,"10,909",,41.824165,140.653061,北斗市
2020100000,2020年度,1303,北海道 当別町,,"3,525",,43.223682,141.516998,当別町
2020100000,2020年度,1304,北海道 新篠津村,,275,,43.225315,141.649231,新篠津村
2020100000,2020年度,1331,北海道 松前町,,215,,41.42997,140.110367,松前町
2020100000,2020年度,1332,北海道 福島町,,236,,41.483864,140.251419,福島町
2020100000,2020年度,1333,北海道 知内町,,372,,41.598331,140.418884,知内町
2020100000,2020年度,1334,北海道 木古内町,,458,,41.678375,140.437653,木古内町
2020100000,2020年度,1337,北海道 七飯町,,"6,906",,41.895721,140.694412,七飯町
2020100000,2020年度,1343,北海道 鹿部町,,374,,42.026638,140.831665,鹿部町
2020100000,2020年度,1345,北海道 森町,,974,,42.105015,140.576492,森町
2020100000,2020年度,1346,北海道 八雲町,,570,,42.256008,140.265259,八雲町
2020100000,2020年度,1347,北海道 長万部町,,230,,42.513538,140.38031,長万部町
2020100000,2020年度,1361,北海道 江差町,,620,,41.869194,140.127457,江差町
2020100000,2020年度,1362,北海道 上ノ国町,,606,,41.801109,140.121384,上ノ国町
2020100000,2020年度,1363,北海道 厚沢部町,,411,,41.920948,140.225357,厚沢部町
2020100000,2020年度,1364,北海道 乙部町,,600,,41.96851,140.135681,乙部町
2020100000,2020年度,1367,北海道 奥尻町,,5,,42.172264,139.512207,奥尻町
2020100000,2020年度,1370,北海道 今金町,,310,,42.42934,140.008682,今金町
2020100000,2020年度,1371,北海道 せたな町,,331,,42.417,139.88327,せたな町
2020100000,2020年度,1391,北海道 島牧村,,128,,42.700497,140.061539,島牧村
2020100000,2020年度,1392,北海道 寿都町,,157,,42.791054,140.228821,寿都町
2020100000,2020年度,1393,北海道 黒松内町,,152,,42.667892,140.307526,黒松内町
2020100000,2020年度,1394,北海道 蘭越町,,480,,42.809238,140.528381,蘭越町
2020100000,2020年度,1395,北海道 ニセコ町,,656,,42.805031,140.687988,ニセコ町
2020100000,2020年度,1396,北海道 真狩村,,240,,42.763004,140.803665,真狩村
2020100000,2020年度,1397,北海道 留寿都村,,149,,42.737309,140.875626,留寿都村
2020100000,2020年度,1398,北海道 喜茂別町,,288,,42.795433,140.93454,喜茂別町
2020100000,2020年度,1399,北海道 京極町,,401,,42.858227,140.884109,京極町
2020100000,2020年度,1400,北海道 倶知安町,,971,,42.901459,140.759018,倶知安町
2020100000,2020年度,1401,北海道 共和町,,"1,228",,42.980408,140.61142,共和町
2020100000,2020年度,1402,北海道 岩内町,,"1,586",,42.979813,140.51474,岩内町
2020100000,2020年度,1403,北海道 泊村,,202,,43.063004,140.498901,泊村
2020100000,2020年度,1404,北海道 神恵内村,,91,,43.143364,140.430801,神恵内村
2020100000,2020年度,1405,北海道 積丹町,,213,,43.298748,140.597977,積丹町
2020100000,2020年度,1406,北海道 古平町,,298,,43.264015,140.638702,古平町
2020100000,2020年度,1407,北海道 仁木町,,445,,43.151669,140.766113,仁木町
2020100000,2020年度,1408,北海道 余市町,,"2,204",,43.195347,140.783539,余市町
2020100000,2020年度,1409,北海道 赤井川村,,123,,43.083492,140.813629,赤井川村
2020100000,2020年度,1423,北海道 南幌町,,"1,887",,43.063755,141.650436,南幌町
2020100000,2020年度,1424,北海道 奈井江町,,968,,43.425453,141.88353,奈井江町
2020100000,2020年度,1425,北海道 上砂川町,,603,,43.482765,141.984253,上砂川町
2020100000,2020年度,1427,北海道 由仁町,,854,,42.999607,141.790283,由仁町
2020100000,2020年度,1428,北海道 長沼町,,"1,616",,43.01041,141.695282,長沼町
2020100000,2020年度,1429,北海道 栗山町,,"1,644",,43.056328,141.784256,栗山町
2020100000,2020年度,1430,北海道 月形町,,211,,43.338345,141.669495,月形町
2020100000,2020年度,1431,北海道 浦臼町,,207,,43.43037,141.818741,浦臼町
2020100000,2020年度,1432,北海道 新十津川町,,"1,381",,43.548782,141.877121,新十津川町
2020100000,2020年度,1433,北海道 妹背牛町,,409,,43.700169,141.961502,妹背牛町
2020100000,2020年度,1434,北海道 秩父別町,,363,,43.767014,141.957855,秩父別町
2020100000,2020年度,1436,北海道 雨竜町,,342,,43.64394,141.889664,雨竜町
2020100000,2020年度,1437,北海道 北竜町,,166,,43.731388,141.879166,北竜町
2020100000,2020年度,1438,北海道 沼田町,,306,,43.806702,141.933685,沼田町
2020100000,2020年度,1452,北海道 鷹栖町,,"1,942",,43.843334,142.354446,鷹栖町
2020100000,2020年度,1453,北海道 東神楽町,,"3,218",,43.696491,142.451263,東神楽町
2020100000,2020年度,1454,北海道 当麻町,,"1,464",,43.827827,142.508087,当麻町
2020100000,2020年度,1455,北海道 比布町,,822,,43.875004,142.477676,比布町
2020100000,2020年度,1456,北海道 愛別町,,336,,43.906673,142.57782,愛別町
2020100000,2020年度,1457,北海道 上川町,,172,,43.847122,142.770462,上川町
2020100000,2020年度,1458,北海道 東川町,,"1,931",,43.698849,142.510223,東川町
2020100000,2020年度,1459,北海道 美瑛町,,960,,43.588284,142.46698,美瑛町
2020100000,2020年度,1460,北海道 上富良野町,,"1,250",,43.45565,142.467087,上富良野町
2020100000,2020年度,1461,北海道 中富良野町,,866,,43.405529,142.425034,中富良野町
2020100000,2020年度,1462,北海道 南富良野町,,130,,43.164165,142.568329,南富良野町
2020100000,2020年度,1463,北海道 占冠村,,58,,42.979881,142.398529,占冠村
2020100000,2020年度,1464,北海道 和寒町,,324,,44.023129,142.413406,和寒町
2020100000,2020年度,1465,北海道 剣淵町,,340,,44.09576,142.361328,剣淵町
2020100000,2020年度,1468,北海道 下川町,,200,,44.302567,142.635208,下川町
2020100000,2020年度,1469,北海道 美深町,,244,,44.481022,142.343063,美深町
2020100000,2020年度,1470,北海道 音威子府村,,17,,44.72504,142.262207,音威子府村
2020100000,2020年度,1471,北海道 中川町,,46,,44.81139,142.071396,中川町
2020100000,2020年度,1472,北海道 幌加内町,,62,,44.009796,142.153824,幌加内町
2020100000,2020年度,1481,北海道 増毛町,,480,,43.85606,141.524918,増毛町
2020100000,2020年度,1482,北海道 小平町,,343,,44.015461,141.662766,小平町
2020100000,2020年度,1483,北海道 苫前町,,219,,44.306141,141.652908,苫前町
2020100000,2020年度,1484,北海道 羽幌町,,293,,44.360611,141.697281,羽幌町
2020100000,2020年度,1485,北海道 初山別村,,77,,44.532146,141.766312,初山別村
2020100000,2020年度,1486,北海道 遠別町,,107,,44.722507,141.792328,遠別町
2020100000,2020年度,1487,北海道 天塩町,,131,,44.888172,141.745346,天塩町
2020100000,2020年度,1511,北海道 猿払村,,85,,45.330608,142.108978,猿払村
2020100000,2020年度,1512,北海道 浜頓別町,,135,,45.123779,142.359741,浜頓別町
2020100000,2020年度,1513,北海道 中頓別町,,115,,44.969761,142.286743,中頓別町
2020100000,2020年度,1514,北海道 枝幸町,,146,,44.938683,142.58139,枝幸町
2020100000,2020年度,1516,北海道 豊富町,,219,,45.102856,141.777496,豊富町
2020100000,2020年度,1517,北海道 礼文町,,1,,45.303082,141.047745,礼文町
2020100000,2020年度,1518,北海道 利尻町,,64,,45.187016,141.139587,利尻町
2020100000,2020年度,1519,北海道 利尻富士町,,99,,45.247501,141.214722,利尻富士町
2020100000,2020年度,1520,北海道 幌延町,,122,,45.017776,141.849442,幌延町
2020100000,2020年度,1543,北海道 美幌町,,"2,072",,43.824249,144.107529,美幌町
2020100000,2020年度,1544,北海道 津別町,,332,,43.706261,144.025238,津別町
2020100000,2020年度,1545,北海道 斜里町,,346,,43.911476,144.670837,斜里町
2020100000,2020年度,1546,北海道 清里町,,331,,43.835239,144.594681,清里町
2020100000,2020年度,1547,北海道 小清水町,,361,,43.857033,144.462524,小清水町
2020100000,2020年度,1549,北海道 訓子府町,,741,,43.725368,143.741669,訓子府町
2020100000,2020年度,1550,北海道 置戸町,,219,,43.676388,143.586395,置戸町
2020100000,2020年度,1552,北海道 佐呂間町,,211,,44.017853,143.774765,佐呂間町
2020100000,2020年度,1555,北海道 遠軽町,,969,,44.061962,143.528046,遠軽町
2020100000,2020年度,1559,北海道 湧別町,,629,,44.151604,143.573029,湧別町
2020100000,2020年度,1560,北海道 滝上町,,96,,44.192276,143.077621,滝上町
2020100000,2020年度,1561,北海道 興部町,,202,,44.469868,143.123962,興部町
2020100000,2020年度,1562,北海道 西興部村,,56,,44.328808,142.944458,西興部村
2020100000,2020年度,1563,北海道 雄武町,,159,,44.582504,142.962006,雄武町
2020100000,2020年度,1564,北海道 大空町,,735,,43.911945,144.172501,大空町
2020100000,2020年度,1571,北海道 豊浦町,,558,,42.583408,140.71196,豊浦町
2020100000,2020年度,1575,北海道 壮瞥町,,391,,42.552109,140.885834,壮瞥町
2020100000,2020年度,1578,北海道 白老町,,"1,633",,42.551247,141.355942,白老町
2020100000,2020年度,1581,北海道 厚真町,,559,,42.723667,141.877945,厚真町
2020100000,2020年度,1584,北海道 洞爺湖町,,"1,087",,42.551117,140.764267,洞爺湖町
2020100000,2020年度,1585,北海道 安平町,,"1,233",,42.762802,141.818039,安平町
2020100000,2020年度,1586,北海道 むかわ町,,706,,42.574749,141.926743,むかわ町
2020100000,2020年度,1601,北海道 日高町,,873,,42.480335,142.074295,日高町
2020100000,2020年度,1602,北海道 平取町,,348,,42.58514,142.128693,平取町
2020100000,2020年度,1604,北海道 新冠町,,821,,42.362442,142.318436,新冠町
2020100000,2020年度,1607,北海道 浦河町,,464,,42.168343,142.768204,浦河町
2020100000,2020年度,1608,北海道 様似町,,500,,42.127777,142.933884,様似町
2020100000,2020年度,1609,北海道 えりも町,,111,,42.016388,143.148331,えりも町
2020100000,2020年度,1610,北海道 新ひだか町,,"1,055",,42.341255,142.368607,新ひだか町
2020100000,2020年度,1631,北海道 音更町,,"10,605",,42.99403,143.19812,音更町
2020100000,2020年度,1632,北海道 士幌町,,573,,43.168049,143.241455,士幌町
2020100000,2020年度,1633,北海道 上士幌町,,339,,43.232635,143.296173,上士幌町
2020100000,2020年度,1634,北海道 鹿追町,,424,,43.098877,142.988968,鹿追町
2020100000,2020年度,1635,北海道 新得町,,487,,43.079548,142.838974,新得町
2020100000,2020年度,1636,北海道 清水町,,856,,43.011436,142.884537,清水町
2020100000,2020年度,1637,北海道 芽室町,,"3,863",,42.911545,143.050842,芽室町
2020100000,2020年度,1638,北海道 中札内村,,505,,42.697865,143.134399,中札内村
2020100000,2020年度,1639,北海道 更別村,,353,,42.650387,143.187836,更別村
2020100000,2020年度,1641,北海道 大樹町,,296,,42.497696,143.278992,大樹町
2020100000,2020年度,1642,北海道 広尾町,,280,,42.285931,143.31163,広尾町
2020100000,2020年度,1643,北海道 幕別町,,"6,644",,42.908627,143.356094,幕別町
2020100000,2020年度,1644,北海道 池田町,,829,,42.929008,143.448532,池田町
2020100000,2020年度,1645,北海道 豊頃町,,239,,42.801022,143.50589,豊頃町
2020100000,2020年度,1646,北海道 本別町,,372,,43.124672,143.610565,本別町
2020100000,2020年度,1647,北海道 足寄町,,297,,43.244801,143.554047,足寄町
2020100000,2020年度,1648,北海道 陸別町,,68,,43.468887,143.747223,陸別町
2020100000,2020年度,1649,北海道 浦幌町,,259,,42.808956,143.658585,浦幌町
2020100000,2020年度,1661,北海道 釧路町,,"4,333",,42.996174,144.46608,釧路町
2020100000,2020年度,1662,北海道 厚岸町,,485,,43.05196,144.847473,厚岸町
2020100000,2020年度,1663,北海道 浜中町,,184,,43.075947,145.131134,浜中町
2020100000,2020年度,1664,北海道 標茶町,,398,,43.303349,144.600662,標茶町
2020100000,2020年度,1665,北海道 弟子屈町,,229,,43.485214,144.45932,弟子屈町
2020100000,2020年度,1667,北海道 鶴居村,,308,,43.230072,144.321182,鶴居村
2020100000,2020年度,1668,北海道 白糠町,,"1,118",,42.956165,144.071732,白糠町
2020100000,2020年度,1691,北海道 別海町,,590,,43.394001,145.117325,別海町
2020100000,2020年度,1692,北海道 中標津町,,"1,658",,43.555206,144.97139,中標津町
