stat_type,key,accident_count
municipality,あきる野市,25
municipality,あま市,8
municipality,あわら市,7
municipality,いすみ市,1
municipality,いちき串木野市,2
municipality,いなべ市,4
municipality,いなべ郡東員町,1
municipality,いわき市,43
municipality,うるま市,10
municipality,えびの市,5
municipality,えりも町,1
municipality,かすみがうら市,6
municipality,かほく市,4
municipality,さいたま大...,1
municipality,さいたま市,204
municipality,さくら市,12
municipality,さぬき市,1
municipality,たつの市,3
municipality,つくばし南...,1
municipality,つくばみらい市,6
municipality,つくば市,54
municipality,つくば西平...,1
municipality,にかほ市,2
municipality,ひたちなか市,45
municipality,ふじみ野市,4
municipality,みどり市,5
municipality,みなかみ市,1
municipality,みやま市,3
municipality,みよし市,1
municipality,むかわ町,1
municipality,むつ市,3
municipality,一宮市,38
municipality,一関市,20
municipality,七尾市,10
municipality,七条大宮京...,1
municipality,三ツ沢公園...,2
municipality,三井郡大刀洗町,1
municipality,三原市,7
municipality,三好市,1
municipality,三島市,24
municipality,三戸郡三戸町,2
municipality,三戸郡南部町,3
municipality,三戸郡新郷村,2
municipality,三戸郡田子町,2
municipality,三戸郡階上町,1
municipality,三方上中群若狭町,1
municipality,三方上中郡若狭町,6
municipality,三方郡美浜町,1
municipality,三方郡香美町,1
municipality,三木市,7
municipality,三条市,17
municipality,三沢市,7
municipality,三浦市,6
municipality,三浦郡葉山町,2
municipality,三笠市,3
municipality,三郷市,29
municipality,三重市,1
municipality,三重県四日市,2
municipality,三重郡川越町,2
municipality,三重郡朝日町,3
municipality,三重郡菰野町,9
municipality,三養基郡基山町,7
municipality,三鷹市,45
municipality,上京区,1
municipality,上伊那辰野...,1
municipality,上伊那郡宮田村,4
municipality,上伊那郡箕輪町,2
municipality,上伊那郡辰野町,1
municipality,上伊那郡飯島町,2
municipality,上信越自動...,1
municipality,上北郡おいらせ町,7
municipality,上北郡七戸町,4
municipality,上北郡六カ所村,1
municipality,上北郡六ケ所村,1
municipality,上北郡六ヶ...,1
municipality,上北郡六ヶ所村,3
municipality,上北郡六戸町,2
municipality,上北郡東北町,3
municipality,上北郡横浜町,3
municipality,上北郡野辺地町,4
municipality,上天草市,3
municipality,上富良野町,1
municipality,上尾市,13
municipality,上山市,9
municipality,上川郡　上川町,1
municipality,上川郡上川町,2
municipality,上川郡剣淵町,1
municipality,上川郡南富良野町,1
municipality,上川郡占冠町,1
municipality,上川郡和寒町,3
municipality,上川郡弟子屈町,2
municipality,上川郡当麻町,1
municipality,上川郡新得町,2
municipality,上川郡東神楽町,1
municipality,上川郡清水町,10
municipality,上川郡美瑛町,2
municipality,上川郡鷹栖町,4
municipality,上水内郡信濃町,2
municipality,上田市,13
municipality,上益城郡嘉島町,1
municipality,上益城郡山都町,1
municipality,上益城郡御船町,2
municipality,上益城郡益城町,2
municipality,上砂川町,1
municipality,上磯郡知内町,1
municipality,上越市,19
municipality,上郷町,1
municipality,上野原市,25
municipality,上閉伊郡大槌町,2
municipality,下京区,4
municipality,下伊那郡下條村,1
municipality,下伊那郡根羽村,1
municipality,下伊那郡阿智村,4
municipality,下伊那郡高森町,1
municipality,下北郡東通村,1
municipality,下呂市,5
municipality,下妻市,6
municipality,下新川郡入善町,2
municipality,下新川郡朝日町,3
municipality,下新川郡道...,1
municipality,下松市,2
municipality,下田市,7
municipality,下益城郡美里町,2
municipality,下都賀郡壬生町,4
municipality,下都賀郡野木町,1
municipality,下野市,12
municipality,下閉伊郡山田町,2
municipality,下閉伊郡岩泉町,1
municipality,下閉伊郡普代村,1
municipality,下関市,8
municipality,下高井群山ノ内町,1
municipality,下高井郡山ノ内町,5
municipality,不破郡垂井町,1
municipality,不破郡関ケ原町,1
municipality,与謝郡与謝野町,1
municipality,世田谷区,103
municipality,中井町,1
municipality,中京区,3
municipality,中区,3
municipality,中国道　上...,1
municipality,中城村,2
municipality,中央区,71
municipality,中央市,3
municipality,中央環状線...,1
municipality,中央自動車...,1
municipality,中央道上り...,1
municipality,中川郡中川町,1
municipality,中川郡幕別町,2
municipality,中川郡本別町,8
municipality,中川郡池田町,5
municipality,中川郡美深町,2
municipality,中川郡豊頃町,2
municipality,中川郡音威子府村,3
municipality,中巨摩郡昭和町,4
municipality,中新川郡上市,3
municipality,中新川郡上町,1
municipality,中新川郡立山町,3
municipality,中新川郡舟橋村,1
municipality,中村,1
municipality,中津川市,17
municipality,中津市,7
municipality,中能登町,1
municipality,中郡二宮町,5
municipality,中郡大磯町,4
municipality,中野区,59
municipality,中野市,3
municipality,中頭郡中城村,1
municipality,中頭郡北中城村,4
municipality,中頭郡北谷町,3
municipality,中頭郡読谷村,1
municipality,中魚沼郡津南町,1
municipality,丹後市,1
municipality,丹波市,2
municipality,丹波篠山市,2
municipality,丹生郡越前町,2
municipality,丹羽郡大口町,2
municipality,丹羽郡扶桑町,1
municipality,久世郡久御山町,9
municipality,久喜市,19
municipality,久慈市,4
municipality,久慈郡大子町,7
municipality,久留米市,4
municipality,久遠郡せたな町,1
municipality,乙訓郡大山崎町,7
municipality,九戸郡洋野町,1
municipality,九戸郡軽米町,3
municipality,亀山市,27
municipality,亀岡市,23
municipality,亀田郡七飯町,7
municipality,亀田郡峠下...,1
municipality,二戸市,5
municipality,二戸郡一戸町,6
municipality,二本松市,17
municipality,二海郡八雲町,15
municipality,五島市,1
municipality,五所川原市,5
municipality,五泉市,2
municipality,亘理郡亘理町,4
municipality,亘理郡山元町,1
municipality,交野市,5
municipality,京丹後市,13
municipality,京田辺市,10
municipality,京都市,567
municipality,京都府京丹後市,1
municipality,京都府京都市,2
municipality,京都縦貫自...,1
municipality,京都縦貫自動車道下り線　京丹波ＰＡ（船井郡京丹波町,1
municipality,人吉市,3
municipality,仁賀保市,1
municipality,今治市,1
municipality,仙北市,7
municipality,仙台市,448
municipality,伊万里市,2
municipality,伊丹市,5
municipality,伊予市,1
municipality,伊佐市,1
municipality,伊具郡丸森町,1
municipality,伊勢原市,14
municipality,伊勢崎市,16
municipality,伊勢市,6
municipality,伊東市,23
municipality,伊豆の国市,8
municipality,伊豆市,23
municipality,伊賀市,18
municipality,伊達市,10
municipality,伊達群国見町,1
municipality,伊達郡国見町,13
municipality,伊達郡川俣町,4
municipality,伊達郡桑折町,2
municipality,伊那市,8
municipality,伊那郡飯島町,1
municipality,伊都郡かつらぎ町,1
municipality,伏見区,1
municipality,会津市,1
municipality,会津若松市,34
municipality,佐世保市,21
municipality,佐久市,10
municipality,佐伯市,7
municipality,佐倉市,13
municipality,佐波郡板井町,1
municipality,佐波郡玉村,2
municipality,佐渡市,1
municipality,佐用郡佐用町,3
municipality,佐賀市,13
municipality,佐野市,30
municipality,余市,14
municipality,保土ケ谷区,4
municipality,倉敷市,6
municipality,備前市,5
municipality,児湯郡川南町,1
municipality,児湯郡新富町,1
municipality,児湯郡木城町,1
municipality,児玉群上里町,1
municipality,児玉郡上里町,7
municipality,児玉郡美里町,1
municipality,入間市,41
municipality,入間郡三芳町,12
municipality,入間郡毛呂山町,1
municipality,八代市,17
municipality,八代郡氷川町,3
municipality,八千代市,20
municipality,八尾市,8
municipality,八幡市,15
municipality,八幡平市,13
municipality,八幡辺市,1
municipality,八戸市,56
municipality,八潮市,10
municipality,八王子市,333
municipality,八街市,3
municipality,八重瀬町,1
municipality,六ヶ所村,1
municipality,出水市,3
municipality,出雲市,2
municipality,函館市,37
municipality,刈田郡七ヶ宿町,1
municipality,刈田郡蔵王...,1
municipality,刈田郡蔵王町,9
municipality,刈羽郡刈羽村,1
municipality,刈羽郡西山町,1
municipality,刈谷市,21
municipality,別府市,23
municipality,利根市,1
municipality,利根群みなかみ町,1
municipality,利根郡みなかみ村,1
municipality,利根郡みなかみ町,9
municipality,利根郡川場村,1
municipality,利根郡昭和村,4
municipality,利根郡昭和町,1
municipality,利根郡水上町,1
municipality,前橋市,37
municipality,前橋駅北口ロータリー内バス待機場　前橋市,1
municipality,加古川市,3
municipality,加東市,8
municipality,加美郡加美町,3
municipality,加美郡色麻町,1
municipality,加茂郡七宗町,2
municipality,加茂郡南伊豆町,1
municipality,加茂郡東伊豆町,1
municipality,加茂郡東白川村,1
municipality,加西市,2
municipality,加賀市,14
municipality,加須市,16
municipality,勇払郡むかわ町,6
municipality,勇払郡占冠...,1
municipality,勇払郡占冠村,11
municipality,勇払郡占冠町,1
municipality,勇払郡厚真町,3
municipality,勇払郡安平町,4
municipality,勇払郡鵡川町,1
municipality,勝山市,4
municipality,勝浦市,3
municipality,勝浦郡上勝町,1
municipality,北上市,32
municipality,北中城村,1
municipality,北九州市,18
municipality,北佐久郡千代田町,1
municipality,北佐久郡御代田町,2
municipality,北佐久郡立科町,1
municipality,北佐久郡蓼科町,1
municipality,北佐久郡軽井沢町,14
municipality,北区,83
municipality,北名古屋市,6
municipality,北安曇郡小谷村,2
municipality,北安曇郡白馬北城村,1
municipality,北安曇野郡小谷村,1
municipality,北広島市,36
municipality,北斗市,8
municipality,北本市,2
municipality,北村,2
municipality,北杜市,23
municipality,北松浦郡佐々町,2
municipality,北津軽郡板柳町,1
municipality,北津軽郡鶴田町,1
municipality,北海道えりも町,1
municipality,北海道夕張郡栗山町,1
municipality,北海道室蘭市,1
municipality,北海道恵庭市,1
municipality,北海道札幌市,1
municipality,北海道深川市,1
municipality,北海道空知郡南富良野町,2
municipality,北海道苫小牧市,1
municipality,北牟婁郡紀北町,1
municipality,北相馬郡利根町,3
municipality,北社市,1
municipality,北秋田市,3
municipality,北秋田郡上小阿仁村,1
municipality,北群馬郡吉岡町,2
municipality,北茨城市,5
municipality,北葛城郡広陵町,3
municipality,北葛城郡河合町,1
municipality,北葛飾郡杉戸町,1
municipality,北葛飾郡松伏町,5
municipality,北蒲原郡聖篭町,2
municipality,北蒲原郡聖籠町,3
municipality,北見市,13
municipality,北設楽郡東栄町,1
municipality,北設楽郡設...,1
municipality,北諸県郡三股町,1
municipality,北足立郡伊奈町,1
municipality,北都留郡小菅村,1
municipality,北関東自動...,1
municipality,北陸自動車道上市,1
municipality,北陸道...,1
municipality,匝瑳市,1
municipality,十勝郡浦幌町,7
municipality,十和田市,2
municipality,十日町,5
municipality,千代田区,74
municipality,千曲市,7
municipality,千歳市,31
municipality,千葉市,191
municipality,千葉県市,1
municipality,千葉美浜区,1
municipality,半田市,7
municipality,南あわじ市,3
municipality,南さつま市,3
municipality,南アルプス市,5
municipality,南丹市,6
municipality,南九州市,3
municipality,南会津郡下郷町,3
municipality,南会津郡南会津村,1
municipality,南会津郡南会津町,9
municipality,南会津郡只見町,2
municipality,南会津郡桧枝岐村,1
municipality,南会津郡檜枝岐村,1
municipality,南佐久郡佐久穂町,1
municipality,南佐久郡南牧村,1
municipality,南佐久郡小海町,1
municipality,南佐久郡川上村,1
municipality,南佐久郡川上町,1
municipality,南区,2
municipality,南島原市,4
municipality,南巨摩身延町,1
municipality,南巨摩軍南部町,1
municipality,南巨摩郡南部町,5
municipality,南巨摩郡身延町,3
municipality,南房総市,8
municipality,南条郡南越前町,12
municipality,南条郡越前町,1
municipality,南松浦郡新上五島町,2
municipality,南河内郡太子町,1
municipality,南津軽郡大鰐町,1
municipality,南牟婁郡御浜町,1
municipality,南相馬市,11
municipality,南砺市,17
municipality,南秋田郡五城目町,1
municipality,南秋田郡大潟村,1
municipality,南越前町,1
municipality,南足柄大雄...,1
municipality,南足柄市,4
municipality,南都留郡富士河口湖富士町,1
municipality,南都留郡富士河口湖町,8
municipality,南都留郡山中湖村,4
municipality,南都留郡河口湖町,1
municipality,南都留郡道志村,3
municipality,南都留郡鳴沢村,3
municipality,南陽市,9
municipality,南風原町,2
municipality,南魚沼市,7
municipality,南魚沼郡湯沢町,9
municipality,印旛郡酒々...,1
municipality,印旛郡酒々井町,9
municipality,印西市,8
municipality,厚別区,1
municipality,厚岸郡厚岸町,5
municipality,厚木妻田南...,1
municipality,厚木市,53
municipality,双葉郡双葉町,3
municipality,双葉郡大熊町,2
municipality,双葉郡富岡町,3
municipality,双葉郡広野町,1
