"調査年 コード","調査年","地域 コード","地域","/項目","A6103_流出人口（県内他市区町村で従業・通学している人口）【人】","注釈"
"2020100000","2020年度","01100","北海道 札幌市","","452,836",""
"2020100000","2020年度","01101","北海道 札幌市 中央区","","32,264",""
"2020100000","2020年度","01102","北海道 札幌市 北区","","66,002",""
"2020100000","2020年度","01103","北海道 札幌市 東区","","58,123",""
"2020100000","2020年度","01104","北海道 札幌市 白石区","","51,746",""
"2020100000","2020年度","01105","北海道 札幌市 豊平区","","62,822",""
"2020100000","2020年度","01106","北海道 札幌市 南区","","28,182",""
"2020100000","2020年度","01107","北海道 札幌市 西区","","55,044",""
"2020100000","2020年度","01108","北海道 札幌市 厚別区","","34,285",""
"2020100000","2020年度","01109","北海道 札幌市 手稲区","","35,010",""
"2020100000","2020年度","01110","北海道 札幌市 清田区","","29,358",""
"2020100000","2020年度","01202","北海道 函館市","","9,233",""
"2020100000","2020年度","01203","北海道 小樽市","","9,023",""
"2020100000","2020年度","01204","北海道 旭川市","","10,029",""
"2020100000","2020年度","01205","北海道 室蘭市","","4,375",""
"2020100000","2020年度","01206","北海道 釧路市","","5,499",""
"2020100000","2020年度","01207","北海道 帯広市","","11,023",""
"2020100000","2020年度","01208","北海道 北見市","","3,116",""
"2020100000","2020年度","01209","北海道 夕張市","","306",""
"2020100000","2020年度","01210","北海道 岩見沢市","","8,416",""
"2020100000","2020年度","01211","北海道 網走市","","1,163",""
"2020100000","2020年度","01212","北海道 留萌市","","661",""
"2020100000","2020年度","01213","北海道 苫小牧市","","8,117",""
"2020100000","2020年度","01214","北海道 稚内市","","353",""
"2020100000","2020年度","01215","北海道 美唄市","","2,286",""
"2020100000","2020年度","01216","北海道 芦別市","","1,033",""
"2020100000","2020年度","01217","北海道 江別市","","27,111",""
"2020100000","2020年度","01218","北海道 赤平市","","1,254",""
"2020100000","2020年度","01219","北海道 紋別市","","481",""
"2020100000","2020年度","01220","北海道 士別市","","915",""
"2020100000","2020年度","01221","北海道 名寄市","","1,018",""
"2020100000","2020年度","01222","北海道 三笠市","","1,265",""
"2020100000","2020年度","01223","北海道 根室市","","172",""
"2020100000","2020年度","01224","北海道 千歳市","","10,908",""
"2020100000","2020年度","01225","北海道 滝川市","","5,215",""
"2020100000","2020年度","01226","北海道 砂川市","","2,778",""
"2020100000","2020年度","01227","北海道 歌志内市","","640",""
"2020100000","2020年度","01228","北海道 深川市","","1,639",""
"2020100000","2020年度","01229","北海道 富良野市","","1,172",""
"2020100000","2020年度","01230","北海道 登別市","","9,868",""
"2020100000","2020年度","01231","北海道 恵庭市","","14,910",""
"2020100000","2020年度","01233","北海道 伊達市","","4,083",""
"2020100000","2020年度","01234","北海道 北広島市","","14,968",""
"2020100000","2020年度","01235","北海道 石狩市","","12,018",""
"2020100000","2020年度","01236","北海道 北斗市","","10,909",""
"2020100000","2020年度","01303","北海道 当別町","","3,525",""
"2020100000","2020年度","01304","北海道 新篠津村","","275",""
"2020100000","2020年度","01331","北海道 松前町","","215",""
"2020100000","2020年度","01332","北海道 福島町","","236",""
"2020100000","2020年度","01333","北海道 知内町","","372",""
"2020100000","2020年度","01334","北海道 木古内町","","458",""
"2020100000","2020年度","01337","北海道 七飯町","","6,906",""
"2020100000","2020年度","01343","北海道 鹿部町","","374",""
"2020100000","2020年度","01345","北海道 森町","","974",""
"2020100000","2020年度","01346","北海道 八雲町","","570",""
"2020100000","2020年度","01347","北海道 長万部町","","230",""
"2020100000","2020年度","01361","北海道 江差町","","620",""
"2020100000","2020年度","01362","北海道 上ノ国町","","606",""
"2020100000","2020年度","01363","北海道 厚沢部町","","411",""
"2020100000","2020年度","01364","北海道 乙部町","","600",""
"2020100000","2020年度","01367","北海道 奥尻町","","5",""
"2020100000","2020年度","01370","北海道 今金町","","310",""
"2020100000","2020年度","01371","北海道 せたな町","","331",""
"2020100000","2020年度","01391","北海道 島牧村","","128",""
"2020100000","2020年度","01392","北海道 寿都町","","157",""
"2020100000","2020年度","01393","北海道 黒松内町","","152",""
"2020100000","2020年度","01394","北海道 蘭越町","","480",""
"2020100000","2020年度","01395","北海道 ニセコ町","","656",""
"2020100000","2020年度","01396","北海道 真狩村","","240",""
"2020100000","2020年度","01397","北海道 留寿都村","","149",""
"2020100000","2020年度","01398","北海道 喜茂別町","","288",""
"2020100000","2020年度","01399","北海道 京極町","","401",""
"2020100000","2020年度","01400","北海道 倶知安町","","971",""
"2020100000","2020年度","01401","北海道 共和町","","1,228",""
"2020100000","2020年度","01402","北海道 岩内町","","1,586",""
"2020100000","2020年度","01403","北海道 泊村","","202",""
"2020100000","2020年度","01404","北海道 神恵内村","","91",""
"2020100000","2020年度","01405","北海道 積丹町","","213",""
"2020100000","2020年度","01406","北海道 古平町","","298",""
"2020100000","2020年度","01407","北海道 仁木町","","445",""
"2020100000","2020年度","01408","北海道 余市町","","2,204",""
"2020100000","2020年度","01409","北海道 赤井川村","","123",""
"2020100000","2020年度","01423","北海道 南幌町","","1,887",""
"2020100000","2020年度","01424","北海道 奈井江町","","968",""
"2020100000","2020年度","01425","北海道 上砂川町","","603",""
"2020100000","2020年度","01427","北海道 由仁町","","854",""
"2020100000","2020年度","01428","北海道 長沼町","","1,616",""
"2020100000","2020年度","01429","北海道 栗山町","","1,644",""
"2020100000","2020年度","01430","北海道 月形町","","211",""
"2020100000","2020年度","01431","北海道 浦臼町","","207",""
"2020100000","2020年度","01432","北海道 新十津川町","","1,381",""
"2020100000","2020年度","01433","北海道 妹背牛町","","409",""
"2020100000","2020年度","01434","北海道 秩父別町","","363",""
"2020100000","2020年度","01436","北海道 雨竜町","","342",""
"2020100000","2020年度","01437","北海道 北竜町","","166",""
"2020100000","2020年度","01438","北海道 沼田町","","306",""
"2020100000","2020年度","01452","北海道 鷹栖町","","1,942",""
"2020100000","2020年度","01453","北海道 東神楽町","","3,218",""
"2020100000","2020年度","01454","北海道 当麻町","","1,464",""
"2020100000","2020年度","01455","北海道 比布町","","822",""
"2020100000","2020年度","01456","北海道 愛別町","","336",""
"2020100000","2020年度","01457","北海道 上川町","","172",""
"2020100000","2020年度","01458","北海道 東川町","","1,931",""
"2020100000","2020年度","01459","北海道 美瑛町","","960",""
"2020100000","2020年度","01460","北海道 上富良野町","","1,250",""
"2020100000","2020年度","01461","北海道 中富良野町","","866",""
"2020100000","2020年度","01462","北海道 南富良野町","","130",""
